Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
User,Chrome 67.0.3396.99,,2018-07-24 17:35:14,2018-07-24 17:35:32,18.143s,PASSED
,,,,,,
Test Cases/Validate/Test 1,Chrome 67.0.3396.99,,2018-07-24 17:35:15,2018-07-24 17:35:32,17.844s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:35:15,2018-07-24 17:35:18,2.828s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:35:18,2018-07-24 17:35:23,5.082s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:35:23,2018-07-24 17:35:23,0.132s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 17:35:23,2018-07-24 17:35:23,0.127s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 17:35:23,2018-07-24 17:35:23,0.294s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:35:23,2018-07-24 17:35:25,2.181s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:35:25,2018-07-24 17:35:27,1.704s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:35:27,2018-07-24 17:35:28,0.530s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:35:28,2018-07-24 17:35:29,1.464s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:35:29,2018-07-24 17:35:29,0.082s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-24 17:35:29,2018-07-24 17:35:30,1.156s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:35:30,2018-07-24 17:35:32,1.301s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 17:35:32,2018-07-24 17:35:32,0.683s,PASSED
